name,total_case,total_deaths,total_recovered,active_cases,serious_critical
Cuba,"963,566","8,313 ","954,862",391,14
Morocco,"951,380","14,796 ","934,739","1,845",347
Georgia,"886,364","12,695 ","827,676","45,993",
Nepal,"823,980","11,553 ","806,544","5,883",114
Slovakia,"769,944","15,304 ","645,150","109,490",580
UAE,"742,719","2,151 ","737,821","2,747",
Tunisia,"719,434","25,427 ","692,617","1,390",50
Bulgaria,"714,156","29,486 ","587,126","97,544",627
Lebanon,"688,515","8,836 ","640,860","38,819",186
Belarus,"673,269","5,261 ","663,455","4,553",
Croatia,"651,863","11,574 ","613,806","26,483",326
Guatemala,"621,844","16,029 ","604,817",998,5
Ireland,"618,956","5,788 ","478,735","134,433",111
Azerbaijan,"603,254","8,070 ","574,615","20,569",
Sri Lanka,"572,188","14,595 ","544,626","12,967",
Costa Rica,"567,995","7,332 ","558,639","2,024",64
Bolivia,"551,516","19,305 ","502,902","29,309",220
Saudi Arabia,"550,189","8,852 ","539,409","1,928",27
Denmark,"548,400","3,005 ","471,641","73,754",60
Ecuador,"533,190","33,558 ","443,880","55,752",759
Myanmar,"526,381","19,177 ","502,666","4,538",
S. Korea,"510,583","4,210 ","429,256","77,117",856
Lithuania,"489,884","6,959 ","456,062","26,863",122
Panama,"480,573","7,386 ","470,109","3,078",14
Paraguay,"463,707","16,502 ","446,545",660,55
Slovenia,"439,169","5,394 ","410,556","23,219",246
Venezuela,"437,887","5,234 ","425,573","7,080",681
Palestine,"433,680","4,569 ","425,507","3,604",58
Kuwait,"413,672","2,466 ","410,864",342,3
Dominican Republic,"410,087","4,218 ","404,173","1,696",108
Uruguay,"402,383","6,142 ","393,909","2,332",14
Mongolia,"385,196","2,031 ","313,256","69,909",192
Honduras,"378,561","10,421 ","122,591","245,549",51
Libya,"377,450","5,540 ","362,177","9,733",
Ethiopia,"373,000","6,829 ","350,292","15,879",168
Moldova,"369,402","9,354 ","353,965","6,083",132
Egypt,"368,335","21,015 ","306,106","41,214",90
Armenia,"342,405","7,788 ","324,834","9,783",
Norway,"314,258","1,136 ","88,952","224,170",108
Oman,"304,703","4,113 ","300,066",524,1
Bosnia and Herzegovina,"280,980","12,918 ","192,218","75,844",
Bahrain,"278,037","1,394 ","276,321",322,1
Singapore,"272,992",789 ,"266,198","6,005",32
Latvia,"261,463","4,366 ","246,893","10,204",97
Kenya,"256,134","5,346 ","248,511","2,277",1
Qatar,"245,188",612 ,"242,215","2,361",9
Estonia,"227,902","1,848 ","212,969","13,085",25
Australia,"227,388","2,100 ","209,564","15,724",95
North Macedonia,"219,100","7,723 ","205,700","5,677",
Nigeria,"217,063","2,981  ","207,703","6,379",11
Algeria,"212,652","6,137 ","146,172","60,343",24
Zambia,"210,959","3,669 ","206,606",684,21
Albania,"203,524","3,132 ","194,838","5,554",23
Finland,"201,051","1,421 ","46,000","153,630",54
Botswana,"196,090","2,421 ","192,452","1,217",1
Uzbekistan,"195,524","1,434 ","192,260","1,830",23
Kyrgyzstan,"183,931","2,768 ","178,962","2,201",131
Zimbabwe,"165,002","4,735 ","129,562","30,705",12
Montenegro,"159,635","2,349 ","155,088","2,198",60
Afghanistan,"157,623","7,325 ","141,510","8,788","1,124"
Mozambique,"153,408","1,942 ","149,955","1,511",13
Cyprus,"140,458",608 ,"124,370","15,480",42
Namibia,"132,271","3,577 ","125,889","2,805",3
Ghana,"131,412","1,239 ","129,495",678,5
Uganda,"127,913","3,267 ","97,759","26,887",100
El Salvador,"121,052","3,793 ","102,982","14,277",246
Cambodia,"120,343","2,982 ","116,695",666,
Cameroon,"107,549","1,823 ","102,716","3,010",152
Rwanda,"100,584","1,344 ","45,522","53,718",1
Luxembourg,"93,429",890 ,"86,920","5,619",23
Maldives,"93,064",257 ,"90,861","1,946",23
Jamaica,"91,725","2,424 ","63,402","25,899",6
Laos,"88,046",236 ,"7,339","80,471",
Trinidad and Tobago,"80,049","2,383 ","63,482","14,184",22
Senegal,"74,076","1,886 ","72,145",45,2
Angola,"65,397","1,737 ","63,417",243,3
Réunion,"63,863",391 ,"59,685","3,787",34
Malawi,"62,230","2,307 ","58,852","1,071",67
Ivory Coast,"61,896",706 ,"60,964",226,
DRC,"59,851","1,118 ","50,930","7,803",
Guadeloupe,"55,284",748 ,"2,250","52,286",23
Fiji,"52,577",697 ,"51,157",723,
Eswatini,"52,174","1,248 ","45,503","5,423",11
Suriname,"51,167","1,176 ","29,584","20,407",11
Syria,"49,189","2,809 ","30,376","16,004",
French Guiana,"46,421",332 ,"11,254","34,835",5
French Polynesia,"46,334",636 ,N/A,N/A,7
Madagascar,"45,794",980 ,"43,393","1,421",22
Martinique,"45,501",718 ,104,"44,679",1
Sudan,"44,529","3,208 ","36,009","5,312",
Malta,"40,468",470 ,"38,178","1,820",3
Mauritania,"39,778",849 ,"38,347",582,13
Cabo Verde,"38,496",351 ,"38,019",126,23
Guyana,"38,492","1,017 ","36,636",839,16
Gabon,"37,591",282 ,"34,131","3,178",6
Papua New Guinea,"35,835",573 ,"34,917",345,7
Belize,"31,033",586 ,"29,609",838,10
Guinea,"30,798",388 ,"29,753",657,49
Barbados,"26,740",251 ,"24,372","2,117",
Togo,"26,372",243 ,"25,937",192,
Tanzania,"26,309",734 ,N/A,N/A,7
Haiti,"25,744",758 ,"22,028","2,958",
Benin,"24,897",161 ,"24,546",190,5
Seychelles,"23,806",129 ,"23,294",383,
Lesotho,"23,102",664 ,"13,856","8,582",
Somalia,"23,074","1,333 ","12,817","8,924",
Bahamas,"22,881",708 ,"21,656",517,4
Mauritius,"22,521",680 ,"20,865",976,
Mayotte,"21,088",185 ,"2,964","17,939",
Burundi,"20,666",38 ,773,"19,855",
Channel Islands,"20,327",107 ,"18,136","2,084",
Timor-Leste,"19,829",122 ,"19,703",4,
Andorra,"19,440",133 ,"16,995","2,312",4
Iceland,"19,159",35 ,"17,751","1,373",5
Congo,"19,066",359 ,"12,421","6,286",
Mali,"18,504",628 ,"15,459","2,417",
Curaçao,"17,572",182 ,"17,263",127,3
Nicaragua,"17,328",210 ,"4,225","12,893",
Tajikistan,"17,095",124 ,"16,966",5,
Taiwan,"16,731",848 ,"15,681",202,
Aruba,"16,575",177 ,"16,195",203,11
Burkina Faso,"16,334",290 ,"15,604",440,
Brunei ,"15,343",98 ,"14,945",300,
Equatorial Guinea,"13,612",175 ,"13,386",51,1
Djibouti,"13,514",189 ,"13,298",27,
Saint Lucia,"13,086",283 ,"12,699",104,6
South Sudan,"12,873",133 ,"12,576",164,2
New Zealand,"12,781",46 ,"6,074","6,661",40
Isle of Man,"12,519",67 ,"11,613",839,1
Hong Kong,"12,484",213 ,"12,165",106,
New Caledonia,"12,376",280 ,"11,907",189,8
CAR,"11,912",101 ,"6,859","4,952",2
Yemen,"10,063","1,968 ","6,940","1,155",23
Gambia,"9,998",342 ,"9,641",15,1
Cayman Islands,"7,871",9 ,"4,339","3,523",17
Eritrea,"7,629",63 ,"7,404",162,
Gibraltar,"7,509",100 ,"7,150",259,
Niger,"7,154",268 ,"6,823",63,2
Guinea-Bissau,"6,447",149 ,"6,281",17,
Sierra Leone,"6,421",121 ,N/A,N/A,
Dominica,"6,233",42 ,"5,768",423,
San Marino,"6,217",94 ,"5,772",351,3
Grenada,"5,915",200 ,"5,652",63,2
Liberia,"5,833",287 ,"5,535",11,2
Bermuda,"5,764",106 ,"5,634",24,
Chad,"5,701",181 ,"4,874",646,
St. Vincent Grenadines,"5,692",77 ,"5,111",504,7
Liechtenstein,"5,275",67 ,"4,772",436,11
Sint Maarten,"4,632",75 ,"4,524",33,10
Comoros,"4,564",151 ,"4,373",40,
Faeroe Islands,"4,275",13 ,"3,737",525,7
Antigua and Barbuda,"4,159",117 ,"4,025",17,1
Monaco,"4,093",36 ,"3,832",225,1
Saint Martin,"3,973",56 ,"1,399","2,518",7
Sao Tome and Principe,"3,733",57 ,"3,675",1,
Turks and Caicos,"3,137",25 ,"3,066",46,
Caribbean Netherlands,"3,129",22 ,"2,954",153,
British Virgin Islands,"2,816",38 ,N/A,N/A,7
Saint Kitts and Nevis,"2,796",28 ,"2,758",10,1
Bhutan,"2,649",3 ,"2,629",17,
Greenland,"1,813", ,"1,520",293,2
St. Barth,"1,603",6 ,N/A,N/A,
Anguilla,"1,523",4 ,"1,434",85,
,712,13 ,699,0,
Wallis and Futuna,454,7 ,438,9,
Saint Pierre Miquelon,91, ,60,31,
Falkland Islands,83, ,N/A,N/A,
Macao,77, ,77,0,
Montserrat,44,1 ,42,1,
Vatican City,27, ,27,0,
Solomon Islands,20, ,20,0,
Western Sahara,10,1 ,8,1,
,9,2 ,7,0,
,8, ,8,0,
Vanuatu,6,1 ,5,0,
Marshall Islands,4, ,4,0,
Samoa,3, ,3,0,
Saint Helena,2, ,2,0,
Micronesia,1, ,1,0,
Tonga,1, ,1,0,
,"83,032,587","1,231,213","80,291,054","1,510,320","30,418"
,"60,557,497","1,211,810","48,567,909","10,777,778","20,844"
,"39,193,672","1,186,237","37,250,778","756,657","12,782"
,"77,827,233","1,458,827","68,086,024","8,282,382","22,822"
,"8,981,873","225,317","8,207,740","548,816","1,797"
,"387,788","4,340","347,599","35,849",157
,721,15,706,0,0
,"269,981,371","5,317,759","242,751,810","21,911,802","88,820"
